created_at;suburb;time;status;location;area
Fri Dec 22 07:36:59 +0000 2023;Mundaring;15:36:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP, WUNDOWIE, WOOROLOO and MORANGUP;CITY OF SWAN and the SHIRES OF MUNDARING, NORTHAM and TOODYAY
Fri Dec 22 07:57:33 +0000 2023;Gidgegannup;15:57:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP, WUNDOWIE, WOOROLOO and MORANGUP;CITY OF SWAN and the SHIRES OF MUNDARING, NORTHAM and TOODYAY
Fri Dec 22 07:57:33 +0000 2023;Wooroloo;15:57:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP, WUNDOWIE, WOOROLOO and MORANGUP;CITY OF SWAN and the SHIRES OF MUNDARING, NORTHAM and TOODYAY
Fri Dec 22 07:57:33 +0000 2023;Bailup;15:57:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP, WUNDOWIE, WOOROLOO and MORANGUP;CITY OF SWAN and the SHIRES OF MUNDARING, NORTHAM and TOODYAY
Fri Dec 22 07:57:33 +0000 2023;Mundaring;15:57:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP, WUNDOWIE, WOOROLOO and MORANGUP;CITY OF SWAN and the SHIRES OF MUNDARING, NORTHAM and TOODYAY
Fri Dec 22 08:13:43 +0000 2023;Jarrahdale;16:13:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 08:13:43 +0000 2023;Keysbrook;16:13:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 08:13:43 +0000 2023;Serpentine;16:13:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 08:23:56 +0000 2023;Jarrahdale;16:23:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 08:23:56 +0000 2023;Keysbrook;16:23:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 08:23:56 +0000 2023;Serpentine;16:23:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 08:50:07 +0000 2023;Gidgegannup;16:50:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 08:50:07 +0000 2023;Wooroloo;16:50:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 08:50:07 +0000 2023;Bailup;16:50:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 08:50:07 +0000 2023;Mundaring;16:50:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 09:10:14 +0000 2023;Jarrahdale;17:10:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 09:10:14 +0000 2023;Keysbrook;17:10:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 09:10:14 +0000 2023;Serpentine;17:10:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 09:27:37 +0000 2023;Jarrahdale;17:27:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 09:27:37 +0000 2023;Keysbrook;17:27:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 09:27:37 +0000 2023;Serpentine;17:27:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 09:30:45 +0000 2023;Mundaring;17:30:00; ADVICE;PARKERVILLE;SHIRE OF MUNDARING
Fri Dec 22 09:30:45 +0000 2023;Parkerville;17:30:00; ADVICE;PARKERVILLE;SHIRE OF MUNDARING
Fri Dec 22 09:55:31 +0000 2023;Gidgegannup;17:55:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 09:55:31 +0000 2023;Wooroloo;17:55:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 09:55:31 +0000 2023;Bailup;17:55:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 09:55:31 +0000 2023;Mundaring;17:55:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
Fri Dec 22 10:36:06 +0000 2023;Jarrahdale;18:36:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 10:36:06 +0000 2023;Keysbrook;18:36:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 10:36:06 +0000 2023;Serpentine;18:36:00; EMERGENCY WARNING;KEYSBROOK, NAMBEELUP, NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY
Fri Dec 22 10:47:58 +0000 2023;Gidgegannup;18:47:00; EMERGENCY WARNING;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING
